Index,	Free Memory (kB),	Load Avg (1 min),	Load Avg (5 min),	Load Avg (15 min),	Running Processes,	Total Processes,	Time,	Computer Name
1,	631520,	0.29,	0.23,	0.15,	1,	213,	2-13-2018 11:22:15,	raspberrypi
2,	630708,	0.15,	0.20,	0.14,	3,	214,	2-13-2018 11:23:15,	raspberrypi
3,	630088,	0.28,	0.22,	0.15,	1,	213,	2-13-2018 11:24:15,	raspberrypi
4,	630220,	0.20,	0.21,	0.15,	2,	213,	2-13-2018 11:25:15,	raspberrypi
5,	629592,	0.16,	0.20,	0.15,	2,	213,	2-13-2018 11:26:15,	raspberrypi
6,	629592,	0.22,	0.21,	0.16,	1,	213,	2-13-2018 11:27:15,	raspberrypi
7,	631576,	0.30,	0.23,	0.17,	2,	212,	2-13-2018 11:28:15,	raspberrypi
8,	631468,	0.17,	0.20,	0.16,	2,	212,	2-13-2018 11:29:15,	raspberrypi
9,	631328,	0.14,	0.19,	0.16,	2,	212,	2-13-2018 11:30:15,	raspberrypi
10,	631344,	0.22,	0.20,	0.17,	2,	212,	2-13-2018 11:31:15,	raspberrypi
11,	631204,	0.12,	0.18,	0.16,	2,	212,	2-13-2018 11:32:15,	raspberrypi
12,	631220,	0.20,	0.19,	0.17,	2,	212,	2-13-2018 11:33:15,	raspberrypi
13,	631220,	0.19,	0.18,	0.17,	2,	211,	2-13-2018 11:34:15,	raspberrypi
14,	631212,	0.18,	0.18,	0.17,	2,	212,	2-13-2018 11:35:15,	raspberrypi
15,	631088,	0.18,	0.18,	0.17,	1,	212,	2-13-2018 11:36:15,	raspberrypi
16,	630948,	0.17,	0.17,	0.17,	1,	212,	2-13-2018 11:37:15,	raspberrypi
17,	631088,	0.16,	0.17,	0.17,	1,	212,	2-13-2018 11:38:15,	raspberrypi
18,	630468,	0.15,	0.17,	0.17,	2,	212,	2-13-2018 11:39:15,	raspberrypi
19,	630600,	0.20,	0.18,	0.18,	1,	211,	2-13-2018 11:40:15,	raspberrypi
20,	630592,	0.24,	0.19,	0.18,	2,	212,	2-13-2018 11:41:15,	raspberrypi
21,	630716,	0.19,	0.18,	0.18,	2,	212,	2-13-2018 11:42:15,	raspberrypi
22,	630716,	0.22,	0.19,	0.18,	1,	212,	2-13-2018 11:43:15,	raspberrypi
23,	630716,	0.25,	0.20,	0.19,	1,	212,	2-13-2018 11:44:15,	raspberrypi
24,	630716,	0.20,	0.20,	0.18,	1,	212,	2-13-2018 11:45:15,	raspberrypi
25,	630724,	0.23,	0.21,	0.18,	1,	211,	2-13-2018 11:46:15,	raspberrypi
26,	630840,	0.27,	0.21,	0.19,	1,	212,	2-13-2018 11:47:15,	raspberrypi
27,	630840,	0.33,	0.24,	0.19,	2,	212,	2-13-2018 11:48:15,	raspberrypi
28,	630460,	0.29,	0.24,	0.19,	2,	212,	2-13-2018 11:49:15,	raspberrypi
29,	630584,	0.21,	0.22,	0.19,	2,	212,	2-13-2018 11:50:15,	raspberrypi
30,	630584,	0.23,	0.23,	0.19,	1,	212,	2-13-2018 11:51:15,	raspberrypi
31,	630708,	0.18,	0.22,	0.18,	1,	211,	2-13-2018 11:52:15,	raspberrypi
32,	630584,	0.21,	0.22,	0.18,	2,	211,	2-13-2018 11:53:15,	raspberrypi
33,	630452,	0.24,	0.22,	0.18,	1,	212,	2-13-2018 11:54:15,	raspberrypi
34,	630452,	0.19,	0.21,	0.18,	2,	212,	2-13-2018 11:55:15,	raspberrypi
35,	630452,	0.22,	0.22,	0.18,	1,	212,	2-13-2018 11:56:15,	raspberrypi
36,	630080,	0.26,	0.22,	0.19,	1,	212,	2-13-2018 11:57:15,	raspberrypi
37,	630204,	0.21,	0.21,	0.18,	1,	212,	2-13-2018 11:58:15,	raspberrypi
38,	630088,	0.23,	0.21,	0.18,	2,	211,	2-13-2018 11:59:15,	raspberrypi
39,	630080,	0.21,	0.21,	0.18,	1,	212,	2-13-2018 12:00:15,	raspberrypi
40,	630204,	0.23,	0.21,	0.18,	2,	212,	2-13-2018 12:01:15,	raspberrypi
41,	629832,	0.19,	0.20,	0.18,	1,	212,	2-13-2018 12:02:15,	raspberrypi
42,	629708,	0.22,	0.21,	0.18,	2,	212,	2-13-2018 12:03:15,	raspberrypi
43,	629584,	0.17,	0.20,	0.18,	2,	212,	2-13-2018 12:04:15,	raspberrypi
44,	606820,	0.27,	0.22,	0.19,	2,	213,	2-13-2018 12:05:15,	raspberrypi
45,	452304,	0.79,	0.39,	0.25,	2,	217,	2-13-2018 12:06:15,	raspberrypi
46,	452908,	0.35,	0.33,	0.24,	2,	217,	2-13-2018 12:07:15,	raspberrypi
47,	453048,	0.34,	0.35,	0.25,	1,	217,	2-13-2018 12:08:15,	raspberrypi
48,	452148,	0.37,	0.34,	0.25,	1,	217,	2-13-2018 12:09:15,	raspberrypi
49,	434680,	0.25,	0.31,	0.25,	2,	216,	2-13-2018 12:10:15,	raspberrypi
50,	434844,	0.21,	0.28,	0.24,	1,	211,	2-13-2018 12:11:15,	raspberrypi
51,	434968,	0.18,	0.26,	0.24,	1,	211,	2-13-2018 12:12:15,	raspberrypi
52,	434960,	0.18,	0.24,	0.23,	1,	212,	2-13-2018 12:13:15,	raspberrypi
53,	434588,	0.16,	0.23,	0.22,	1,	212,	2-13-2018 12:14:15,	raspberrypi
54,	434068,	0.16,	0.21,	0.22,	1,	215,	2-13-2018 12:15:15,	raspberrypi
55,	434300,	0.18,	0.22,	0.22,	1,	216,	2-13-2018 12:16:15,	raspberrypi
56,	433732,	0.16,	0.20,	0.21,	1,	218,	2-13-2018 12:17:15,	raspberrypi
57,	434812,	0.14,	0.19,	0.21,	1,	215,	2-13-2018 12:18:15,	raspberrypi
58,	434804,	0.22,	0.20,	0.21,	1,	216,	2-13-2018 12:19:15,	raspberrypi
59,	434324,	0.19,	0.20,	0.20,	1,	214,	2-13-2018 12:20:15,	raspberrypi
60,	434216,	0.22,	0.20,	0.20,	2,	212,	2-13-2018 12:21:15,	raspberrypi
61,	434340,	0.27,	0.21,	0.20,	1,	212,	2-13-2018 12:22:15,	raspberrypi
62,	434464,	0.21,	0.20,	0.19,	1,	212,	2-13-2018 12:23:15,	raspberrypi
63,	433984,	0.24,	0.21,	0.19,	1,	213,	2-13-2018 12:24:15,	raspberrypi
64,	434064,	0.19,	0.20,	0.19,	1,	214,	2-13-2018 12:25:15,	raspberrypi
65,	433956,	0.22,	0.21,	0.19,	2,	214,	2-13-2018 12:26:15,	raspberrypi
66,	433948,	0.18,	0.20,	0.18,	1,	214,	2-13-2018 12:27:15,	raspberrypi
67,	433824,	0.21,	0.21,	0.18,	2,	214,	2-13-2018 12:28:15,	raspberrypi
68,	433840,	0.24,	0.21,	0.18,	2,	212,	2-13-2018 12:29:15,	raspberrypi
69,	433848,	0.19,	0.20,	0.18,	1,	211,	2-13-2018 12:30:15,	raspberrypi
70,	433716,	0.22,	0.21,	0.18,	1,	212,	2-13-2018 12:31:15,	raspberrypi
71,	433840,	0.25,	0.22,	0.19,	1,	212,	2-13-2018 12:32:15,	raspberrypi
72,	433344,	0.20,	0.20,	0.18,	1,	212,	2-13-2018 12:33:15,	raspberrypi
73,	433344,	0.23,	0.21,	0.18,	1,	212,	2-13-2018 12:34:15,	raspberrypi
74,	433088,	0.19,	0.20,	0.18,	1,	213,	2-13-2018 12:35:15,	raspberrypi
75,	433220,	0.21,	0.21,	0.18,	1,	212,	2-13-2018 12:36:15,	raspberrypi
76,	433220,	0.17,	0.20,	0.18,	1,	212,	2-13-2018 12:37:15,	raspberrypi
77,	433344,	0.20,	0.20,	0.18,	1,	212,	2-13-2018 12:38:15,	raspberrypi
78,	433096,	0.24,	0.21,	0.18,	1,	212,	2-13-2018 12:39:15,	raspberrypi
79,	432980,	0.18,	0.20,	0.18,	1,	211,	2-13-2018 12:40:15,	raspberrypi
80,	433096,	0.27,	0.22,	0.19,	1,	212,	2-13-2018 12:41:15,	raspberrypi
81,	433096,	0.27,	0.23,	0.19,	1,	212,	2-13-2018 12:42:15,	raspberrypi
82,	433080,	0.20,	0.22,	0.18,	2,	212,	2-13-2018 12:43:15,	raspberrypi
83,	432972,	0.22,	0.22,	0.18,	1,	212,	2-13-2018 12:44:15,	raspberrypi
84,	433088,	0.17,	0.21,	0.18,	1,	212,	2-13-2018 12:45:15,	raspberrypi
85,	433220,	0.20,	0.21,	0.18,	2,	211,	2-13-2018 12:46:15,	raspberrypi
86,	433220,	0.23,	0.22,	0.18,	1,	211,	2-13-2018 12:47:15,	raspberrypi
87,	433336,	0.18,	0.21,	0.18,	2,	212,	2-13-2018 12:48:15,	raspberrypi
